標籤,標題,時間,活動描述
高教深耕,(高教深耕)2025年跨域合作美感設計競賽,03/03 (週一),"(高教深耕)2025年跨域合作美感設計競賽 Facebook分享 LINE分享 取得網址 取得QrCode
活動時間：2025年3月3日 08:00~2025年6月12日 16:57 加入行事曆
活動地點：
活動嘉賓：
活動類型： 活動
參加對象： 校內學生
承辦：通識教育中心
活動聯絡人： 蔡維庭 03-2656877    
活動所屬單位： 通識教育中心
✨競賽目的：提升學生之美學感知、審美能力及美感創作力，展現中原美感生活，特辦理跨域美感設計競賽，結合美感與所學，創作出你心目中美感的想象。
✨作品主題：請以「美感」為核心，以「樂音之美」🎶為理念發想，將其化為實際創作呈現，並隨作品附上300字的主題描述（填寫於報名表內）。
✨參賽辦法：以「團隊形式」參與，團隊需由跨系所學生組成（一隊須包含兩個以上系所組成），團隊人數以2～4人為限。
✨競賽組別：競賽分為「平面組」、「立體組」、「數位媒體組」，每隊參賽件數不限。
（作品形式與相關規定請參考比賽辦法）
✨收件日期：114年06月12日（四）17:00截止
✨競賽獎勵：
  第一名（平面、立體、數位媒體組各一） 獎金10,000元及獎狀乙紙
  第二名（平面、立體、數位媒體組各一） 獎金8,000元及獎狀乙紙
  第三名（平面、立體、數位媒體組各一） 獎金5,000元及獎狀乙紙
 特別創意獎（平面組、立體組、數位媒體組各二） 獎金1,000元及獎狀乙紙
  📃2025年跨域合作美感設計競賽 比賽簡章 請點我 查看
📝準備參賽 請點我 填寫CYCU表單
附件：
2025中原大學跨域合作美感設計競賽簡章.pdf (檔案大小： 304 KB)
  不需線上報名"
高教深耕,(教師教學研習)(高教深耕)教學實踐計畫成果發表會(2)：教學實踐研究--數位學習與翻轉教學的全英語專業課程,06/16 (週一) 12:00 ~ 13:00,"(教師教學研習)(高教深耕)教學實踐計畫成果發表會(2)：教學實踐研究--數位學習與翻轉教學的全英語專業課程 Facebook分享 LINE分享 取得網址 取得QrCode
活動時間：2025年6月16日 12:00~2025年6月16日 13:00 加入行事曆
活動地點：張靜愚紀念圖書館103室-普仁小集 (地址：桃園市中壢區中北路200號)
活動嘉賓： 應外系-林慧茹老師    
活動類型： 專題或演講
參加對象： 校內教職員
主辦：教務處教師教學發展中心
活動聯絡人： 翁顥軒 03-2652074    
活動所屬單位： 教務處教師教學發展中心
*備註事項：
(1)全程參與者將核發 1 小時研習時數。
(2)本活動提供午餐，敬請完成線上報名以利統計。
(3)本場活動未提供錄影或線上觀看，僅此一場，敬請見諒並把握參與機會。
  報名期限
04/01 (週二) 09:00 ~ 06/09 (週一) 12:00
報名"
高教深耕,(教師教學研習)(高教深耕)ISO 14067產品碳足跡 內部查證員,06/23 (週一) 08:30 ~ 17:00,"(教師教學研習)(高教深耕)ISO 14067產品碳足跡 內部查證員 Facebook分享 LINE分享 取得網址 取得QrCode
活動時間：2025年6月23日 08:30~2025年6月23日 17:00 加入行事曆
活動地點：教學大樓806(日日新共學區)
活動嘉賓：
活動類型： 教育訓練
參加對象： 校內教職員
承辦：校務研究暨永續發展處永續治理辦公室
活動聯絡人： 俞曉蘭 03-2651232    
活動所屬單位： 校務研究暨永續發展處永續治理辦公室
各位師長同仁您好：
ISO 14067 是一個國際標準，旨在對組織進行全面溫室氣體排放評估，包括產品的原材料獲取、製造、使用和處理等階段。有助於組織了解其產品對氣侯變化的影響，減少排放和改進產品的環境性能。
  課程名稱：ISO 14067產品碳足跡 內部查證員
日期時間：114年6月23日(一)08:30~17:00
課程地點：教學大樓806(日日新共學區)
參加對象：限校內教職員報名
課程名額：20名
課程規定：因名額有限，若無法全程參與者請勿報名；請自備筆電；課程中禁止攝(錄)影音行為。
  ♦報名完成後由永續處審核上課資格，依私校獎補助、高教深耕指標需求為審核標準，本課程由高教深耕計畫補助。
♦認列：教職員研習時數。
♦為配合環保政策，敬請攜帶環保杯、筷及個人文具用品參加。
  報名期限
04/29 (週二) 12:00 ~ 05/24 (週六) 12:00
報名
※報名已達活動預計人數"
高教深耕,(教師教學研習)(高教深耕)ISO 14068-1標準入門與案例研討,06/24 (週二) 08:30 ~ 17:00,"(教師教學研習)(高教深耕)ISO 14068-1標準入門與案例研討 Facebook分享 LINE分享 取得網址 取得QrCode
活動時間：2025年6月24日 08:30~2025年6月24日 17:00 加入行事曆
活動地點：教學大樓806(日日新共學區)
活動嘉賓：
活動類型： 教育訓練
參加對象： 校內教職員
承辦：校務研究暨永續發展處永續治理辦公室
活動聯絡人： 俞曉蘭 03-2651232    
活動所屬單位： 校務研究暨永續發展處永續治理辦公室
各位師長同仁您好：
隨著全球氣候變化加劇，企業與組織面臨越來越大的減碳壓力，ISO 14068-1 提供了統一的標準，幫助企業、組織和產品在實現碳中和的過程中遵循一致的原則，進一步推動全球碳排放的減少。
  課程名稱： ISO 14068-1標準入門與案例研討
日期時間：114年6月24日(二)08:30~17:00
課程地點：教學大樓806(日日新共學區)
參加對象：限校內教職員報名
課程名額：30名
課程規定：因名額有限，若無法全程參與者請勿報名；請自備筆電；課程中禁止攝(錄)影音行為。
  ♦報名完成後由永續處審核上課資格，依私校獎補助、高教深耕指標需求為審核標準，本課程由高教深耕計畫補助。
♦認列：教職員研習時數。
♦為配合環保政策，敬請攜帶環保杯、筷及個人文具用品參加。
  報名期限
04/29 (週二) 12:00 ~ 05/24 (週六) 12:00
報名"
通識自主學習,(高教深耕)(通識自主學習)113-2張靜愚紀念圖書館中英文讀書會,02/14 (週五),"(高教深耕)(通識自主學習)113-2張靜愚紀念圖書館中英文讀書會 Facebook分享 LINE分享 取得網址 取得QrCode
活動時間：2025年2月14日 00:00~2025年5月27日 00:00 加入行事曆
活動地點：
活動嘉賓：
活動類型： 活動
參加對象： 開放校內外人士
承辦：圖書館讀者服務組
活動聯絡人： 黃楹茹03-265-2839     吳佳穎03-265-2845    
活動所屬單位： 圖書館讀者服務組
各位同學看過來~圖書館讀書會開跑囉！
無論是想和不同國家的外籍生互動，
還是想找三五好友一同體會書中樂趣，
絕對不能錯過圖書館為您準備的讀書會活動！

申請通過後，全程參與並符合相關規定者
可申請通識自主學習0.2學分 及 獲得 獎勵金
 👉籌組英文讀書會【詳情請點我】
 👉學生自組讀書會【詳情請點我】

誠摯歡迎各位踴躍參與喔！
  不需線上報名"
通識自主學習,(通識自主學習)(高教深耕)【通識青年論壇】,05/27 (週二) 15:10 ~ 17:00,"(通識自主學習)(高教深耕)【通識青年論壇】05/27｜年齡≠能力，17歲的我，能做些什麼？ Facebook分享 LINE分享 取得網址 取得QrCode
活動時間：2025年5月27日 15:10~2025年5月27日 17:00 加入行事曆
活動地點：張靜愚紀念圖書館一樓秀德廳
活動嘉賓：
活動類型： 專題或演講
參加對象： 開放校內外人士
承辦：通識教育中心
活動聯絡人： 張芸瑄 03-2656883    
活動所屬單位： 通識教育中心
活動資訊與注意事項
● 時間：114年5月27日（二）15:10-17:00
● 地點：張靜愚紀念圖書館一樓秀德廳
● 講題：年齡≠能力，17歲的我，能做些什麼？
● 講員：李爅
● 講員介紹：
李爅，當時是年齡17歲的高中生，憑著一股毅力與愛心，以募集物資的方式，成立了【全國首創校園食物銀行】並於107年06月02日正式成立協會，以【愛心公開透明】為宗旨，號召青年學子為社會出一份力量，愛心不分年齡人人都可以做的精神，希望達成【全台無飢餓 人人都溫飽】的目標。
  ★ 參加通識活動之注意事項 ★
※ 報名時請填寫正確電子郵件帳號，若活動有異動將寄送電子郵件告知。
※ 本單位有修改活動之權利。若有任何更動，請以最新公告為主。
※ 參與人數額滿將提前結束報名！
※ 不刻出席時，請務必取消報名，以免資源浪費！
※ 依現場工作人員判定遲到或早退者，恕無法取得各項參與時數。
※ 請於活動結束後出示學生證/職員證嗶卡簽退，以保障您的權益！
※ 為維護您與他人的健康，若身體不適，請避免出席活動。
  報名期限
03/31 (週一) 08:00 ~ 05/23 (週五) 17:00
已過期"
通識自主學習,(風雅頌)(通識自主學習)1,05/28 (週三) 12:50 ~ 14:00,"(風雅頌)(通識自主學習)114/05/28普仁崗音樂節《二比一的音樂故事集》 Facebook分享 LINE分享 取得網址 取得QrCode
活動時間：2025年5月28日 12:50~2025年5月28日 14:00 加入行事曆
活動地點：風雅頌藝文廳
活動嘉賓： 長笛／邱佩珊     單簧管／楊元碩     鋼琴／王亞文    
活動類型： 表演
參加對象： 開放校內外人士
承辦：風雅頌音樂中心
活動聯絡人： 徐郁婷 03-2651281    
活動所屬單位： 通識教育中心風雅頌音樂中心
《二比一的音樂故事集》
日期：2025年05月28日（三）
入場時間：中午12：30（排隊入場）
開演時間：中午12：50－14：00
地點：風雅頌藝文廳（真知教學大樓2樓）
  【演出人員】
長笛／邱佩珊
單簧管／楊元碩
鋼琴／王亞文
  【節目介紹】
二比一擅長將音樂具象化，讓抽象的旋律轉化為充滿畫面感的情節與角色。每個音符、每個樂句，都能被轉譯成幽默風趣、充滿想像力的故事語言。他們以誇張又充滿戲劇性的方式詮釋《阿諾大幻想曲》，用高超精湛的技巧展現《卡門》的熱情與張力，讓觀眾在音樂的律動中彷彿走進了一場場精彩的劇場演出。
在舞台上，故事與音樂密不可分，音樂推動情節發展，故事又為音樂注入新的靈魂與生命。這不僅是一場音樂會，更像是一場活靈活現的表演藝術饗宴，讓觀眾在笑聲與感動之中重新認識古典音樂的魅力。
那麼，這一次，二比一究竟又會帶來什麼樣新鮮有趣的節目內容？是令人驚喜的編曲？意想不到的角色設定？還是打破想像的創意詮釋？只能親自來到現場，才能揭曉這場音樂魔法的答案！
  【演出曲目】
德布西：小組曲
Debussy：Petite Suite
  I. 小船 En Bateau
  II. 遊行 Cortège
  III. 小步舞曲 Menuet
  IV. 芭蕾 Ballet
阿諾：給長笛、單簧管與鋼琴的大幻想曲
Arnold：Grand Fantasia for Flute, Clarinet and Piano
蕭士塔高維奇：四首華爾滋
Shostakovich：Four Waltzes
  I. 手搖管風琴華爾滋 Barrel Organ Waltz
  II. 春之華爾滋 Spring Waltz
  III. 華爾滋 Waltz
  IV. 笑話華爾滋 Joke Waltz
比才：給長笛、單簧管與鋼琴的卡門幻想曲
Bizet：Carmen Fantasie for Flute, Clarinet and Piano
      【注意事項】
1.  請依工作人員指示入場。
2.  場內禁止飲食飲水、雨傘請放置門口旁的傘架。
3. 本場音樂會有列入「通識自主學習學分」，若需認證者，請攜帶學生證，並於音樂會入場時，依工作人員指示靠卡簽到。
4. 主辦單位保有活動內容／流程調整之權利，若有相關異動，將公告於本中心臉書粉絲專頁。
  不需線上報名"
通識自主學習,(通識自主學習)114健康促進講座｜,05/29 (週四) 12:10 ~ 12:10,"(通識自主學習)114健康促進講座｜5/29 大學「避」修課-做出負責任的選擇! Facebook分享 LINE分享 取得網址 取得QrCode
活動時間：2025年5月29日 12:10~2025年5月29日 12:10 加入行事曆
活動地點：全人村北棟4樓國際會議廳
活動嘉賓： 台灣婦產科醫學會    
活動類型： 專題或演講
參加對象： 校內學生
承辦：學生事務處衛生保健組
活動聯絡人： 陳筠香 03-2652163    
活動所屬單位： 學生事務處衛生保健組
大學「避」修課-做出負責任的選擇!
✨學習保護自己，建立健康關係✨
👤主講人：麥迪森 醫師
台灣婦產科學會、宏其婦幼醫院
📅 活動日期｜2025年5月29日（四）
🕒 活動時間｜12:10 - 13:10
📍 活動地點｜中原大學國際會議廳(全人教育村北棟4樓)
👤 活動對象：本校在校學生120名，女性優先報名。
青春不補考，愛要有智慧！
本場講座將深入淺出講解避孕方式全面解析、健康兩性關係建立與愛滋病與性病預防，讓我們一起勇敢面對性、理性選擇愛、負責自己的身體與未來。
    報名期限
05/05 (週一) 00:00 ~ 05/25 (週日) 12:59
報名"
通識自主學習,(通識自主學習)(教師教學研習)【中原70邁向永續】永續發展教育-融滲共創偕行講座,06/04 (週三) 09:30 ~ 12:00,"(通識自主學習)(教師教學研習)【中原70邁向永續】永續發展教育-融滲共創偕行講座 Facebook分享 LINE分享 取得網址 取得QrCode
活動時間：2025年6月4日 09:30~2025年6月4日 12:00 加入行事曆
活動地點：中原大學張靜愚紀念圖書館 秀德廳 (地址：桃園市中壢區中北路200號)
活動嘉賓： 中原大學國際經營與貿易學系 林師模特聘教授     國立成功大學工業衛生學科暨環境醫學研究所 蘇慧貞 名譽教授    
活動類型： 教育訓練
參加對象： 校內教職員、校內學生
承辦：校務研究暨永續發展處永續治理辦公室
活動聯絡人： 王永春 03-2651231    
活動所屬單位： 校務研究暨永續發展處永續治理辦公室
面對氣候變遷與資源枯竭等全球挑戰，永續發展已成為各領域關注的核心議題。大學應將永續理念融入教學與研究，推動跨領域課程與創新探索，同時透過USR實踐社會責任，連結在地與全球，培育具永續思維與行動力的專業人才與未來領袖。
日期：114年6月4日(三)上午09：30至12：00
地點：中原大學張靜愚紀念圖書館 秀德廳
※ 認列教師、職員教育訓練時數 ※
※ 認列通識教育自主學習課程學分 ※
※ 會後備有餐盒，需線上報名 ※
  報名期限
05/07 (週三) 13:00 ~ 05/28 (週三) 17:00
報名"
通識自主學習,(風雅頌)(通識自主學習)1,06/04 (週三) 12:50 ~ 14:00,"(風雅頌)(通識自主學習)114/06/04《時光交錯：19世紀長笛與吉他的音樂沙龍》 Facebook分享 LINE分享 取得網址 取得QrCode
活動時間：2025年6月4日 12:50~2025年6月4日 14:00 加入行事曆
活動地點：風雅頌藝文廳
活動嘉賓： 浪漫時期長笛／簡志賢     浪漫時期吉他／林家瑋    
活動類型： 表演
參加對象： 開放校內外人士
承辦：風雅頌音樂中心
活動聯絡人： 徐郁婷 03-2651281    
活動所屬單位： 通識教育中心風雅頌音樂中心
《時光交錯：19世紀長笛與吉他的音樂沙龍》
日期：2025年06月04日（三）
入場時間：中午12：30（排隊入場）
開演時間：中午12：50－14：00
地點：風雅頌藝文廳（真知教學大樓2樓）

【演出人員】
浪漫時期長笛／簡志賢
浪漫時期吉他／林家瑋
  【節目介紹】
古長笛演奏家簡志賢自德國學成返台，積極透過主題音樂會展示各時期的長笛風格。本次音樂會邀請長期合作的古典吉他演奏家林家瑋聯袂演出，二人將使用仿製的浪漫時期複刻長笛與吉他，演奏19世紀沙龍音樂中的二重奏及小夜曲，重現當時優美和諧的音色。
音樂會不僅呈現浪漫時期音樂的細膩與溫暖，還透過精心設計的仿製樂器，將當時的獨特音色與音樂氛圍完美再現。
無論是古典音樂愛好者，還是對樂器與音樂歷史感興趣的觀眾，都能在演出中獲得深刻的欣賞與享受。觀眾將有機會一窺歷史樂器的音色魅力，並感受音樂美學的時代風華。
  【演出曲目】
帕格尼尼：第一號重音奏鳴曲
Niccoò Paganini：“Centone di Sonate” Sonata Prima
  I. 小廣板般的導奏 Introduzione Larghetto
  II. 進行曲速度般的莊嚴快板 Allegro maestoso Tempo di Marcia
  III. 快板的小圓舞曲 Rondoncino Allegro
朱利亞尼：給長笛或小提琴與吉他的大二重奏協奏曲，作品85
Mauro Giuliani：Grand Duo Concertant pour Flûte ou Violon et Guitarre, Op. 85
  I. 中庸的快板 Allegro moderato
  II. 十分綿延的行板 Andante molto sostenuto
  III. 詼諧曲 Scherzo
  IV. 富有表現力的稍快板 Allegretto espressive
古諾：聖母頌
Charles Gounod：Ave Maria
庫夫納：小夜曲，作品44
Joseph Küffner：Serenade, Op. 44
      【注意事項】
1.  請依工作人員指示入場。
2.  場內禁止飲食飲水、雨傘請放置門口旁的傘架。
3. 本場音樂會有列入「通識自主學習學分」，若需認證者，請攜帶學生證，並於音樂會入場時，依工作人員指示靠卡簽到。
4. 主辦單位保有活動內容／流程調整之權利，若有相關異動，將公告於本中心臉書粉絲專頁。
  不需線上報名"
通識自主學習,(風雅頌)(通識自主學習)1,06/05 (週四) 16:00 ~ 17:10,"(風雅頌)(通識自主學習)114/06/05《慈悲的跤步》音樂故事專輯 Facebook分享 LINE分享 取得網址 取得QrCode
活動時間：2025年6月5日 16:00~2025年6月5日 17:10 加入行事曆
活動地點：風雅頌藝文廳
活動嘉賓： 音樂總監／林少英     主唱／Sunny     鍵盤／潘俐伶     電吉他／王文彥     笙／黃朧逸    
活動類型： 表演
參加對象： 開放校內外人士
承辦：風雅頌音樂中心
活動聯絡人： 徐郁婷 03-2651281    
活動所屬單位： 通識教育中心風雅頌音樂中心
《慈悲的跤步》音樂故事專輯
日期：2025年06月05日（四）
入場時間：下午03：30（排隊入場）
開演時間：下午04：00－05：10
地點：風雅頌藝文廳（真知教學大樓2樓）

【演出人員】
音樂總監／林少英
主唱／Sunny
鍵盤／潘俐伶
電吉他／王文彥
笙／黃朧逸
  【節目介紹】
當年去美國求學，尋根溯源什麼是 Blues、什麼是 Jazz ，我將這句話牢牢放在心底，它日後也陪伴著我的創作生涯。數十年來，我所有的專輯創作和重大演出，第一個音符就是故事的開始，最後一個音符是故事的收尾。我一直希望聽眾能沉浸在音樂描摹的情境中，到終場留下一句「這音樂很有畫面」。《慈悲的跤步》便由這個設想出發，重構了詩人路寒袖的同名台語詩。此外，我一直想做一張「倒敍」的專輯。我的倒敘，指的是聆聽順序：專輯能順著聽，但你也能選擇先把最後一首聽完，再回到第一首接著一首首聽下去。我相信，以這張專輯的最後一首曲子為錨點去嘗試各種聆聽順序，便是靠攏向 a song is telling a story 精神的完整體現，《慈悲的跤步》專輯本來也就是朝著這方向構思的。
  【演出曲目】
作詞：路寒袖／作曲：林少英、Sunny／編曲：林少英
《序曲：夜裡翱翔》
《是媽媽嘛是阿媽》
《鸞》
《令旗展開》
《一步一步》
《行過溪邊行過田岸》
《拉不住夕陽》
    【注意事項】
1.  請依工作人員指示入場。
2.  場內禁止飲食飲水、雨傘請放置門口旁的傘架。
3. 本場音樂會有列入「通識自主學習學分」，若需認證者，請攜帶學生證，並於音樂會入場時，依工作人員指示靠卡簽到。
4. 主辦單位保有活動內容／流程調整之權利，若有相關異動，將公告於本中心臉書粉絲專頁。
  不需線上報名"
通識自主學習,(風雅頌)(通識自主學習)1,06/11 (週三) 12:50 ~ 14:00,"(風雅頌)(通識自主學習)114/06/11《章韶洵鋼琴獨奏會－戰火淬煉的樂章》 Facebook分享 LINE分享 取得網址 取得QrCode
活動時間：2025年6月11日 12:50~2025年6月11日 14:00 加入行事曆
活動地點：風雅頌藝文廳
活動嘉賓： 鋼琴／章韶洵    
活動類型： 表演
參加對象： 開放校內外人士
承辦：風雅頌音樂中心
活動聯絡人： 徐郁婷 03-2651281    
活動所屬單位： 通識教育中心風雅頌音樂中心
章韶洵鋼琴獨奏會－戰火淬煉的樂章
日期：2025年06月11日（三）
入場時間：下午12：30（排隊入場）
開演時間：下午12：50－14：00
地點：風雅頌藝文廳（真知教學大樓2樓）

【演出人員】
鋼琴／章韶洵
  【節目介紹】
戰爭貫穿人類歷史，帶來無數苦難與傷痕。即使硝煙散去，那些記憶仍未遠離。作曲家以音樂紀錄時代，用旋律回應動盪，傳遞對和平的反思與期待。本場音樂會精選演出多首與戰爭有關的作品，邀請您在音樂中回望歷史，聆聽情感與記憶的回聲。
  【演出曲目】
蕭邦：降A大調波蘭舞曲《英雄》
F. Chopin：“Heroic” Polonaise in A-flat Major, Op. 53
浦朗克：憂鬱
F. Poulenc：Mélancolie, FP. 105
梅特納：A小調鋼琴奏鳴曲，作品30
N. Medtner：Piano Sonata in A Minor, Op. 30
普羅高菲夫：降B大調第八號鋼琴奏鳴曲，作品84
S. Prokofiev：Piano Sonata No. 8 in B-flat Major, Op. 84
  I. 溫柔的行板–適度的快板 Andante dolce–Allegro moderato
  II. 夢幻的行板 Andante sognando
  III. 活潑的 Vivace
    【注意事項】
1.  請依工作人員指示入場。
2.  場內禁止飲食飲水、雨傘請放置門口旁的傘架。
3. 本場音樂會有列入「通識自主學習學分」，若需認證者，請攜帶學生證，並於音樂會入場時，依工作人員指示靠卡簽到。
4. 主辦單位保有活動內容／流程調整之權利，若有相關異動，將公告於本中心臉書粉絲專頁
  不需線上報名"
通識自主學習,(通識自主學習)(高教深耕)(通識認證)(教師教學研習)【全人博雅講壇】,06/11 (週三) 15:10 ~ 17:00,"(通識自主學習)(高教深耕)(通識認證)(教師教學研習)【全人博雅講壇】06/11｜歐洲歷史文化中的「人造人」（機器人）敘事—在科學與魔法之間 Facebook分享 LINE分享 取得網址 取得QrCode
活動時間：2025年6月11日 15:10~2025年6月11日 17:00 加入行事曆
活動地點：張靜愚紀念圖書館一樓秀德廳
活動嘉賓：
活動類型： 專題或演講
參加對象： 開放校內外人士
承辦：通識教育中心
活動聯絡人： 張芸瑄 03-2656883    
活動所屬單位： 通識教育中心
活動資訊與注意事項
● 時間：114年6月11日（三）15:10-17:00
● 地點：張靜愚紀念圖書館一樓秀德廳
● 講題：歐洲歷史文化中的「人造人」（機器人）敘事—在科學與魔法之間
● 講員：温洽溢
● 講員介紹：
國立政治大學東亞研究所博士。世新大學通識中心副教授，兼舍我紀念館副館長，《傳記文學》雜誌社副社長。著作：《獻給皇帝的禮物：Wedgwood瓷器王國與漫長的十八世紀》，獲2019年Openbook中文創作類年度好書獎。並譯有多本書籍，如《改變中國》、《康熙：重構一位中國皇帝的內心界》等。
  ★ 參加通識活動之注意事項 ★
※ 報名時請填寫正確電子郵件帳號，若活動有異動將寄送電子郵件告知。
※ 本單位有修改活動之權利。若有任何更動，請以最新公告為主。
※ 參與人數額滿將提前結束報名！
※ 不刻出席時，請務必取消報名，以免資源浪費！
※ 依現場工作人員判定遲到或早退者，恕無法取得各項參與時數。
※ 請於活動結束後至簽到處出示學生證/職員證靠卡簽退，以保障您的權益！
※ 為維護您與他人的健康，若有身體不適，請避免出席活動。
  報名期限
02/17 (週一) 08:00 ~ 04/25 (週五) 12:00
已過期"
通識自主學習,(風雅頌)(通識自主學習)1,06/12 (週四) 16:00 ~ 17:10,"(風雅頌)(通識自主學習)114/06/12《午後泰勒曼》 Facebook分享 LINE分享 取得網址 取得QrCode
活動時間：2025年6月12日 16:00~2025年6月12日 17:10 加入行事曆
活動地點：風雅頌藝文廳
活動嘉賓： 巴洛克長笛／林悅慈     巴洛克雙簧管／張芸嫚     巴洛克小提琴／呂珮菱     維奧爾琴／楊竣元    
活動類型： 表演
參加對象： 開放校內外人士
承辦：風雅頌音樂中心
活動聯絡人： 徐郁婷 03-2651281    
活動所屬單位： 通識教育中心風雅頌音樂中心
午後泰勒曼
日期：2025年06月12日（四）
入場時間：下午03：30（免費入場）
開演時間：下午04：00－05：10
地點：風雅頌藝文廳（真知教學大樓2樓）
  【演出人員】
巴洛克長笛／林悅慈
巴洛克雙簧管／張芸嫚
巴洛克小提琴／呂珮菱
維奧爾琴／楊竣元
  【節目介紹】
此次音樂會，我們將帶領聽眾穿越時光，探索巴洛克音樂大師泰勒曼（Georg Philipp Telemann）豐富多采的音樂世界。以二重奏、三重奏與四重奏為編制，與優雅的旋律對位作品為主軸，本場演出呈現出泰勒曼以旋律為畫筆所勾勒出的和諧音景，感受那既典雅又生動的樂音流轉之中。
  【演出曲目】
泰勒曼：G大調四重奏協奏曲，作品43:G6
G. P. Telemann: Concerto for Four Instruments in G Major, TWV 43:G6
  I. 活潑的 Vivace
  II. 莊重的 Grave
  III. 快板 Allegro
泰勒曼：G大調奏鳴曲，作品42:G8
G. P. Telemann: Sonata in G Major, TWV 42:G8
  I. 柔和的 Soave
  II. 快板 Allegro
  III. 行走的 Andante
  IV. 快板 Allegro
泰勒曼：卡農旋律集，第1首，作品40:123
G. P. Telemann: Canons Mélodieux, TWV 40:123, No. 1
  I. 活潑的 Vivace
  II. 慢板 Adagio
  III. 快板 Allegro
泰勒曼：G大調四重奏，作品43:G2
G. P. Telemann: Quatuor in G Major, TWV 43:G2
  I. 寬廣的–快板–寬廣的 Largo–Allegro–Largo
  II. 活潑的–適中的–活潑的 Vivace–Moderato–Vivace
  III. 莊重的 Grave
  IV. 活潑的 Vivace
    【注意事項】
1.  請依工作人員指示入場。
2.  場內禁止飲食飲水、雨傘請放置門口旁的傘架。
3. 本場音樂會有列入「通識自主學習學分」，若需認證者，請攜帶學生證，並於音樂會入場時，依工作人員指示靠卡簽到。
4. 主辦單位保有活動內容／流程調整之權利，若有相關異動，將公告於本中心臉書粉絲專頁。
    不需線上報名"
通識自主學習,(通識自主學習)「創業打 Game，團隊、任務、闖關來真的！」國際創業領袖營招募中,06/30 (週一),"(通識自主學習)「創業打 Game，團隊、任務、闖關來真的！」國際創業領袖營招募中 Facebook分享 LINE分享 取得網址 取得QrCode
活動時間：2025年6月30日 08:00~2025年7月18日 17:00 加入行事曆
活動地點：知行領航館201室
活動嘉賓：
活動類型： 通識課程
參加對象： 校內學生
承辦：產學營運處創新創業發展中心
活動聯絡人： 吳逸菱 03-2651813    
活動所屬單位： 產學營運處創新創業發展中心
☀️ 想在全英語環境學創業、組團隊、拓視野嗎？
這個夏天，來一場結合 創業模擬、企業參訪、國際交流與文化探索 的夏日冒險吧！
📌 在默契中交朋友，在挑戰中學創業，
📌 與國際學生一起激發創意、打造夢想，
📌 讓這個暑假成為你人生中收穫滿滿的一站！
💡活動資訊｜
🔸課程時間：6月30日（日）至 7月18日（四）
平日 09:00–16:30（週末自由探索）
🔸參加費用：1500元／人
🔸地點：中原大學 知行領航館 201 教室
🔸暑期文化之旅：安排兩場平日（週三）文化體驗活動。
考量國際學生難得來台，我們特別保留週末時間，
讓學生們能與國際夥伴一同深入探索台灣在地文化！
👉文化之旅預估費用：500～1000元（費用商討中）
✔️通過審核者將收到繳費 QR CODE。
⏰ 報名截止時間：即日起至 5月29日（三）23:59 前
🚀立即加入我們，一起創業冒險！
✨「最嗨創業遊戲 START！名額有限，搶先卡位！」
✨「創意交朋友，創業拚未來！快來參加！」
✨「創業冒險，立即報名！」
📞 聯絡資訊｜
吳專員　03-265-1813
沈專員　03-265-1723
  報名期限
04/18 (週五) 00:00 ~ 05/29 (週四) 23:59
報名"
通識認證,(風雅頌)(通識認證)1,05/29 (週四) 19:00 ~ 20:30,"(風雅頌)(通識認證)114/05/29普仁崗音樂節－樂曲悠揚《漫步中原》 Facebook分享 LINE分享 取得網址 取得QrCode
活動時間：2025年5月29日 19:00~2025年5月29日 20:30 加入行事曆
活動地點：瑞麗堂
活動嘉賓： 小提琴／王逸超     大提琴／邱明宏     鋼琴／陳文婉    
活動類型： 表演
參加對象： 開放校內外人士
承辦：風雅頌音樂中心
活動聯絡人： 徐郁婷 03-2651281    
活動所屬單位： 通識教育中心風雅頌音樂中心
《漫步中原》
日期：2025年05月29日（四）
入場時間 18：30（免費入場）
開演時間 19：00－20：30
地點：瑞麗堂
  【演出人員】
小提琴／王逸超
大提琴／邱明宏
鋼琴／陳文婉
導聆／蕭景雲
  【節目介紹】
《漫步》來自音樂術語中的行板 (Andante)，《漫步中原》是一場舒適穿梭在音樂裡的旅程。本場音樂會以精緻的室內樂演奏，呈現出古典音樂的豐富色彩與心靈的昇華、樂器間的相互對話與和諧交織，繪製出一幅幅詩意畫面，從安靜到激昂、從溫暖到戲劇。在這段音樂旅程中，帶領觀眾在中原的校園裡漫步，感受校園的藝文氣息、享受音樂帶來的瞬間感動。
  【演出曲目】
蕭士塔高維奇：第二號E小調鋼琴三重奏，作品67
D. Shostakovich：Piano Trio No. 2 in E Minor, Op. 67
孟德爾頌：第一號D小調鋼琴三重奏，作品49
F. Mendelssohn：Piano Trio No. 1 in D Minor, Op. 49
      【注意事項】
1.  本場音樂會無需報名，請於入場時間排隊入場。
2.  場內禁止飲食飲水、雨傘請放置門口旁的傘架。
3. 請依工作人員指示入場。
4. 本場音樂會有列入「通識認證」、「通識自主學習學分」，若需認證者，請攜帶學生證，並於音樂會離場時，完成意見回饋單後，依工作人員指示靠卡簽到。
5. 主辦單位保有活動內容／流程調整之權利，若有相關異動，將公告於本中心臉書粉絲專頁。
  不需線上報名"
